year,week,sl_no,state,district,disease,cases,deaths,report_week,date_reporting,remarks
2013,1,,Through Integrated Disease Surveillance Project (Idsp),,Through Integrated Disease Surveillance Project (Idsp),,,,,
2013,1,,1St Week ( 31 December 2012 To 6 January 2013),,1St Week ( 31 December 2012 To 6 January 2013),,,,,
2013,1,1.,Andhra Pradesh,Chittoor,I Food Poisoning,13.0,0.0,,02/1/13,"Cases of loose motion, vomiting and abdominal pain reported from MP Elementary School, Village Musalimadugu, SC Pengarakunta, District Chittoor due to consumption of contaminated food (sambhar) in mid day meal. Medical team investigated the outbreak. All cases treated symptomatically. Health education given regarding food hygiene."
2013,1,2.,Karnataka,Chitradurga,Ii Fever,23.0,1.0,,01/01/13,"Outbreak of fever with cough and vomiting reported from Village Katihatti, SC Chikkabyaladkere, PHC G.N.Kere, Block Hosadurga, District Chitradurga. District RRT investigated the outbreak. House to house fever survey done. Cases treated at local health centre. All 23 blood smears examined, tested negative for malaria. 5 serum samples collected which tested negative for Dengue. Control measures undertaken. IEC done."
2013,1,,,Tumkur,Iii Food Poisoning,25.0,0.0,,01/01/13,"Outbreak of loose motion and vomiting reported from Village Hullekere, PHC Dandinashivara, Block Turuvekere, District Tumkur due to consumption of contaminated stale food. Medical team investigated the outbreak. Cases treated locally. Health education given regarding safe food habit, hygiene and sanitation."
2013,1,3.,Rajasthan,Jaipur,Iv Food Poisoning,310.0,0.0,,27/12/12,"Outbreak of gastroenteritis reported from Sai Baba Mandir, Village Bainada, CHC/Block Bassi, District Jaipur due to consumption of contaminated food (prasadi) in religious function. District RRT and Block health team investigated the outbreak. Cases treated at CHC Bassi, SMS Hospital and JK Laun Hospital Jaipur. Health education given."
2013,1,4,,Dharmapuri,V Chickenpox,20.0,0.0,,28/12/12,"Outbreak of fever with vesicular rash reported from Village Vedampatti, SC Nammandahalli, PHC Panchapalli, Block Palacode, District Darmapuri. Medical team investigated the outbreak. House to house survey done by paramedical team. Cases treated symptomatically. IEC done regarding isolation of cases."
2013,1,5.,Uttar Pradesh,Lucknow,Vi Chickenpox,19.0,0.0,,01/01/13,"Cases of fever with rash reported from Village Sarsawan, CHC Baksi ka Talab, District Lucknow. Medical team investigated the outbreak. Active search for fever cases done in the affected area. Cases treated locally. Health education given regarding early treatment and isolation of cases."
2013,1,1.,Bihar,Nalanda,Vii Chickenpox,10.0,0.0,,,"Cases of fever with rash reported from Village Kornama, SC Kornama, PHC Chandi, District Nalanda. Medical team investigated the outbreak. Cases treated at local health centre. Most of the cases were below 10 years of age. Health education given."
2013,1,,,Patna,Viii Chickenpox,35.0,0.0,,,"Outbreak of fever with vesicular rash reported from Village Paharpur, SC Shikariya, PHC/Block Bihta, District Patna. District RRT investigated the outbreak. Active search for fever cases done. Affected cases were children below 15 years of age. Cases treated locally. IEC done."
2013,1,2.,Kerala,Alappuzha,Ix Mumps,10.0,0.0,,,"Cases reported from Village Mararikulam (Ward 3), PHC/Block Chettikad, District Alappuzha. Medical team investigated the outbreak. Cases treated symptomatically. Health education given regarding hygiene, sanitation and isolation of cases."
2013,1,3.,Maharashtra,Ahmednagar,X Dengue,12.0,0.0,,,"Cases of fever reported from Village Takli Manur, PHC Pimpalgaon Tappa, Block Pathardi, District Ahmednagar. Medical team investigated the outbreak. Cases treated locally. All 12 blood smears examined tested negative for malaria. 2 serum samples collected and sent to Sentinel centre Civil Hospital Ahmednagar which tested positive for Dengue. Fogging done in the affected area."
2013,1,4.,Odisha,Ganjam,Xi Acute Diarrhoeal Disease,45.0,0.0,,,"Outbreak of loose motion reported from Village Chikiti, Block Naupada, District Ganjam due to consumption of contaminated river water. District RRT investigated the outbreak. Temporary medical camp established in the locality. Cases treated symptomatically. ORS packets given to cases. Chlorination of water sources done. People advised to stop consumption of river water for drinking purpose. IEC done."
2013,1,5.,Tamil Nadu,Dindigul,Xii Chikungunya,17.0,0.0,,,"Cases of fever with joint pain reported from Village Kannanur, SC Mettupatti, PHC Kethaiyurambu, Block Oddanchatram, District Dindigul. District RRT investigated the outbreak. Active search for fever cases done. Cases treated at local health centre. Out of 6 serum samples collected and sent to ZET Dindigul, 3 samples were positive for Chikungunya (IgM ELISA). Anti-larval activities and fogging done in the affected area. IEC done"
2013,1,,,,Xiii Leptospirosis?,15.0,0.0,,,"Cases reported from Village/SC Periyur. PHC Poolathur, Block Kodaikanal, District Dindigul. District RRT investigated the outbreak. Mass fever survey done by paramedical team. Cases treated locally. Out of 6 serum samples collected and sent to ZET Dindigul, 1 sample was positive for Leptospirosis (IgM ELISA). IEC activities undertaken regarding personal protection measures to be adopted by the community."
2013,1,1.,Chandigarh,Chandigarh,Viral Hepatitis A,,0.0,,,"A total of 67 cases of jaundice were reported from Industrial area Ramdarbar (Phase-II), UT Chandigarh till 16 December 2012. From 17 to 30 December 2012, further 83 cases occurred. 15 serum samples collected which tested positive for Hepatitis A (IgM ELISA). Control measures undertaken."
2013,2,,Through Integrated Disease Surveillance Project (Idsp),,Through Integrated Disease Surveillance Project (Idsp),,,,,
2013,2,,2Nd Week (7 To 13 January 2013),,2Nd Week (7 To 13 January 2013),,,,,
2013,2,1.,Andhra Pradesh,Mahabubnagar,I Fever,20.0,0.0,,09/01/13,"Outbreak of fever with joint pain & swelling reported from Village/SC Amarachinta, PHC Thippadampally, Block Athmakur, District Mahabubnagar. Medical team investigated the outbreak. Active search for fever cases done. Medical camp organized in the community. Cases treated symptomatically. All 20 blood smears examined tested negative for malarial parasite. 4 serum samples collected and sent to VBRI Hyderabad; result awaited. Anti-larval activities and Pyrethrum spray done in the affected area. IEC done."
2013,2,2.,Karnataka,Gulbarga,Ii Chikunguny A/Dengue,22.0,0.0,,05/01/13,"Outbreak of fever with arthralgia and myalgia reported from Village/PHC Ankalga, Block Jewargi, District Gulbarga. District RRT investigated the outbreak. House to house fever survey done. Cases treated locally. Out of 22 serum samples collected, 11 samples were positive for Chikungunya and 1 for Dengue (IgM ELISA). Fogging done in the affected area."
2013,2,3.,Kerala,Kollam,Iii Viral Hepatitis A,10.0,0.0,,07/01/13,"Cases of jaundice reported from Village Kottamkara, SC Kottamkara, PHC Kottamkara, Block Palathara, District Kollam. District RRT investigated the outbreak. Cases treated at local health centre. Out of 10 serum samples collected, 2 samples were positive for Hepatitis A (IgM ELISA). Chlorination of water sources done. Health education given regarding safe drinking water, hygiene and sanitation."
2013,2,4.,Madhya Pradesh,Mandla,Iv Malaria,11.0,0.0,,04/01/13,"Cases reported from Village Khalegithori, Block Moahgoan, District Mandla. Medical team investigated the outbreak. House to house fever survey done. Cases treated symptomatically. Cases had travel history to Village Gadrabhalli, District Manchadial, Andhra Pradesh. All 11 blood smears collected tested positive for P. falciparum. IEC done regarding personal protection."
2013,2,,,Neemuch,V Fever,32.0,0.0,,08/01/13,"Outbreak of fever with loss of appetite and abdominal pain for 7 days reported from Village Khor, Block Jawad, District Neemuch. District RRT investigated the outbreak. Active search for fever cases done. Temporary medical camp organized in the locality. All cases treated. 32 blood samples collected which tested positive for widal. Health education given regarding consumption of fresh food, hygiene and sanitation."
2013,2,5.,Maharashtra,Raigad,Vi Acute Diarrhoeal Disease,110.0,2.0,,09/01/13,"Outbreak of loose motion and vomiting reported from Village Wadavali, SC Adgaon, PHC BorliPanchatan, Block Shriwardhan, District Raigad. District RRT investigated the outbreak. House to house survey done. People consumed water from Kudali Dam supplied through water supply system. Medical camp organized in the community. Medicine and ORS packets given to cases. 1 stool sample collected and sent to DPHL Alibag which tested negative for cholera. Out of 3 water samples collected, 2 samples were non potable. Chlorination of water sources done. IEC done."
2013,2,6.,Tamil Nadu,Ramanathapur Am,Vii Fever,17.0,0.0,,08/01/13,"Outbreak of fever with joint pain and myalgia reported from Village Chinnapalam, SC Tharavaithoppu, PHC Pamvan, Block Mandapam District Ramanathapuram. Medical team investigated the outbreak. House to house fever survey done. Cases treated at local health centre. All 17 blood smears examined tested negative for malaria. 4 serum samples collected and sent to DPL (IDSP) Ramanathapuram which tested negative for Dengue. Anti-larval activities and fogging done in the affected area."
2013,2,,,,Viii Dengue,15.0,0.0,,10/01/13,"Cases reported from Village Saveriyar Pattinam, SC Maranthai, PHC Melasirupothu, Block Kadaladi, District Ramanathapuram. Block health team investigated the outbreak. House to house fever survey done. Cases treated locally. 8 blood smears collected which tested negative for malaria. Out of 7 serum samples collected and sent to IVCZ Hosur, 3 samples were positive for Dengue. Control measures undertaken. IEC done."
2013,2,,,Theni,Ix Chickenpox,48.0,0.0,,06/01/13,"Outbreak of fever with rash reported from Villages Mayiladumparai, Thenpalani & Nehruji nagar, SC Mayiladumparai, PHC Kadamalaikundu, Block K. Mayiladumparai, District Theni. District RRT investigated the outbreak. House to house fever survey done. Cases treated at local health centre. Health education given regarding isolation of cases."
2013,2,1.,Kerala,Kottayam,X Chickenpox,13.0,0.0,,,"Cases of fever with vesicular rash reported from Kottayam Municipality (Ward 1), PHC Athirampuzha, Block Ettumanoor, District Kottayam. District RRT investigated the outbreak. Cases treated symptomatically. Health education given regarding isolation of cases."
2013,2,,,Thrissur,Xi Mumps,29.0,0.0,,,"Outbreak reported from Villages/ SCs Kondayur, Thalassery & Desamngalam, PHC Desamngalam, Block Erumapaetty, District Thrissur. District RRT investigated the outbreak. Active search for fever cases done in the affected area. Cases treated at local health centre. Cases belong to same school. Health education given to parents and school authorities regarding isolation and early treatment of cases."
2013,2,,,Wayanad,Xii Viral Hepatitis A,35.0,0.0,,,"Outbreak of jaundice reported from, Village Vengapally (Edaguni colony), SC Maniyankode, CHC Kalpetta, District Wayanad. Medical team investigated the outbreak. House to house survey done. People consumed water from a well. Medical camp organized in the locality. Cases treated symptomatically. Out of 5 serum samples collected, 2 samples were positive for Hepatitis A. Chlorination of water sources done. Chlorine tablets distributed in the community. IEC done regarding safe drinking water, hygiene and sanitation."
2013,2,2.,Maharashtra,Dhule,Xiii Measles,8.0,0.0,,,"Cases of fever with rash and conjunctivitis reported from Village Gartad (Ashramshala), PHC Borkund, Block/District Dhule. Medical team visited the affected area. Cases treated locally. Vitamin A solution given to all cases. Affected cases were children below 10 years of age. Health education given regarding isolation of cases."
2013,2,,,Nashik,Xiv Fever,39.0,2.0,,,"Outbreak reported from Village/SC Devarpada, PHC Chinchohal, Block Malegaon, District Nashik. District RRT investigated the outbreak. House to house fever survey done. Cases treated at local health centre. 18 serum samples collected and sent to Dhule Medical College, tested negative for Dengue. Entomological survey revealed; CI 11.2, HI 10.2, BI 13.3. Anti-larval activities and Pyrethrum spray done. IEC done."
2013,2,,,Ratnagiri,Xv Acute Diarrhoeal Disease,15.0,0.0,,,"Cases of loose motion reported from Village Dhundare, SC Lanja, PHC Satawali, Block Lanja, District Ratnagiri. Medical team investigated the outbreak. Cases treated at Rural Hospital Lanja. 4 stool samples collected and sent to DPHL Raigad; result awaited. Health education given."
2013,2,3.,West Bengal,Hooghly,Xvi Cholera,69.0,0.0,,,"Outbreak of loose motion, vomiting and abdominal pain reported from Village Bhowpur, SC Jamna, Block Pandua, District Hooghly. District RRT and Block health team investigated the outbreak. Cases treated symptomatically. 28 patients treated at local health centre. 8 rectal swab samples collected and sent to NICED Kolkata out of which 3 samples were positive for Vibrio cholerae (O1 Ogawa). Chlorine tablets and ORS packets distributed in the community. IEC activities undertaken regarding safe food and drinking water, hygiene and sanitation."
2013,3,,Through Integrated Disease Surveillance Project (Idsp),,Through Integrated Disease Surveillance Project (Idsp),,,,,
2013,3,,3Rd Week (14-20 January 2013),,3Rd Week (14-20 January 2013),,,,,
2013,3,1.,Bihar,Lakhisarai,I Chickenpox,11.0,0.0,,14/01/13,"Cases of fever with vesicular rash reported from Village Badtara Mushari (chaudhari tola), SC Badtara, PHC/Block Ramgarh, District Lakhisarai. Medical team investigated the outbreak. Cases were children below 10 years of age. Symptomatic treatment given to all cases. Health education given regarding isolation of cases."
2013,3,2.,Gujarat,Dahod,Ii Food Poisoning,12.0,0.0,,18/01/13,"Cases of loose motion and vomiting reported from Village Rebari (Patel Faliya), PHC Bhathwada, Block Devgadh Baria, District Dahod due to consumption of contaminated food. District RRT investigated the outbreak. Cases treated at local health centre. IEC done regarding safe food habit."
2013,3,,,Vadodara,Iii Chickenpox,21.0,0.0,,12/01/13,"Outbreak of fever with vesicular rash reported from Village Kasarvav, SC Samalvant, PHC Navalja, Block Kawant, District Vadodara. District RRT investigated the outbreak. House to house survey done. Cases treated locally. Affected cases were children below 15 years of age. IEC done regarding isolation and early treatment of cases."
