date,state,disease,total_cases,total_deaths
2019-10-14,Andaman And Nicobar Islands,Acute Diarrhoeal Disease,30,0
2022-09-19,Andaman And Nicobar Islands,Acute Diarrhoeal Disease,23,0
2023-08-14,Andaman And Nicobar Islands,Acute Diarrhoeal Disease,18,0
2024-06-03,Andaman And Nicobar Islands,Acute Diarrhoeal Disease,76,0
2024-08-19,Andaman And Nicobar Islands,Chickenpox,7,0
2024-10-07,Andaman And Nicobar Islands,Fever With Rash,8,0
2025-05-05,Andaman And Nicobar Islands,Food Poisoning,5,0
2025-07-14,Andaman And Nicobar Islands,Gastroenteritis,30,0
2013-02-25,Andhra Pradesh,Acute Diarrhoeal Disease,29,0
2013-03-25,Andhra Pradesh,Acute Diarrhoeal Disease,21,0
2013-05-27,Andhra Pradesh,Acute Diarrhoeal Disease,97,0
2013-06-10,Andhra Pradesh,Acute Diarrhoeal Disease,59,0
2013-07-01,Andhra Pradesh,Acute Diarrhoeal Disease,48,2
2013-07-22,Andhra Pradesh,Acute Diarrhoeal Disease,50,1
2013-07-29,Andhra Pradesh,Acute Diarrhoeal Disease,99,0
2013-08-12,Andhra Pradesh,Acute Diarrhoeal Disease,34,2
2013-10-07,Andhra Pradesh,Acute Diarrhoeal Disease,11,2
2013-11-18,Andhra Pradesh,Acute Diarrhoeal Disease,30,0
2013-11-25,Andhra Pradesh,Acute Diarrhoeal Disease,39,2
2013-12-02,Andhra Pradesh,Acute Diarrhoeal Disease,26,2
2014-04-21,Andhra Pradesh,Acute Diarrhoeal Disease,14,2
2014-06-23,Andhra Pradesh,Acute Diarrhoeal Disease,19,0
2014-06-30,Andhra Pradesh,Acute Diarrhoeal Disease,12,0
2014-08-04,Andhra Pradesh,Acute Diarrhoeal Disease,14,0
2014-09-29,Andhra Pradesh,Acute Diarrhoeal Disease,14,0
2014-12-08,Andhra Pradesh,Acute Diarrhoeal Disease,22,2
2014-12-15,Andhra Pradesh,Acute Diarrhoeal Disease,25,0
2015-02-23,Andhra Pradesh,Acute Diarrhoeal Disease,22,0
2015-04-13,Andhra Pradesh,Acute Diarrhoeal Disease,100,0
2015-05-18,Andhra Pradesh,Acute Diarrhoeal Disease,23,0
2015-05-25,Andhra Pradesh,Acute Diarrhoeal Disease,0,0
2015-06-01,Andhra Pradesh,Acute Diarrhoeal Disease,16,0
2015-06-08,Andhra Pradesh,Acute Diarrhoeal Disease,16,0
2015-06-15,Andhra Pradesh,Acute Diarrhoeal Disease,15,0
2015-06-22,Andhra Pradesh,Acute Diarrhoeal Disease,71,0
2015-07-13,Andhra Pradesh,Acute Diarrhoeal Disease,101,0
2015-08-03,Andhra Pradesh,Acute Diarrhoeal Disease,26,0
