date,total_deaths,month,week_of_year,year,month_sin,month_cos,week_sin,week_cos,is_monsoon,is_winter,lag_1,lag_2,lag_4,lag_8,rolling_mean_4,rolling_mean_8,rolling_std_4,rolling_max_4,state_Andaman And Nicobar Islands,state_Andhra Pradesh,state_Arunachal Pradesh,state_Assam,state_Bihar,state_Chandigarh,state_Chhattisgarh,state_Dadra And Nagar Haveli And Daman And Diu,state_Delhi,state_Goa,state_Gujarat,state_Haryana,state_Himachal Pradesh,state_Jammu And Kashmir,state_Jharkhand,state_Karnataka,state_Kerala,state_Lakshadweep,state_Madhya Pradesh,state_Maharashtra,state_Manipur,state_Meghalaya,state_Mizoram,state_Nagaland,state_Odisha,state_Puducherry,state_Punjab,state_Rajasthan,state_Sikkim,state_Tamil Nadu,state_Telangana,state_Tripura,state_Uttar Pradesh,state_Uttarakhand,state_West Bengal,disease_Acute Diarrhoeal Disease,disease_Acute Encephalitis Syndrome,disease_Acute Febrile Illness,disease_Acute Flaccid Paralysis,disease_Alcohol Poisoning,disease_Anthrax,disease_CCHF,disease_COVID-19,disease_Chandipura Viral Encephalitis,disease_Chickenpox,disease_Chikungunya,disease_Cholera,disease_Dengue,disease_Dengue And Chikungunya,disease_Diphtheria,disease_Fever With Rash,disease_Food Poisoning,disease_Gastroenteritis,disease_Hepatitis A And E,disease_Hepatitis B,disease_Influenza H1N1,disease_Kala-Azar,disease_Leptospirosis,disease_Malaria,disease_Measles,disease_Mumps,disease_Mushroom Poisoning,disease_Rabies,disease_Scrub Typhus,disease_Typhoid Fever,disease_Viral Hepatitis,disease_Zika Virus Disease,target
2013-10-07,2,10,41,2013,-0.8660254037844386,0.5000000000000001,-0.9709418174260521,0.23931566428755738,0,0,34.0,99.0,48.0,29.0,57.75,54.625,28.406278648683756,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
2013-11-18,0,11,47,2013,-0.5000000000000004,0.8660254037844384,-0.5680647467311559,0.8229838658936564,0,1,11.0,34.0,50.0,21.0,48.5,52.375,37.278233148402656,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0
2013-11-25,2,11,48,2013,-0.5000000000000004,0.8660254037844384,-0.4647231720437684,0.88545602565321,0,1,30.0,11.0,99.0,97.0,43.5,53.5,38.33623177448022,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
2013-12-02,2,12,49,2013,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,0,1,39.0,30.0,34.0,59.0,28.5,46.25,12.233832869001711,39.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2014-04-21,2,4,17,2014,0.8660254037844387,-0.49999999999999983,0.8854560256532099,-0.4647231720437685,0,0,26.0,39.0,11.0,48.0,26.5,42.125,11.67618659209133,39.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0
2014-06-23,0,6,26,2014,1.2246467991473532e-16,-1.0,-3.216245299353273e-16,-1.0,1,0,14.0,26.0,30.0,50.0,27.25,37.875,10.372238588334406,39.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0
2014-06-30,0,6,27,2014,1.2246467991473532e-16,-1.0,-0.12053668025532283,-0.992708874098054,1,0,19.0,14.0,39.0,99.0,24.5,34.0,10.847426730181986,39.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2014-08-04,0,8,32,2014,-0.8660254037844384,-0.5000000000000004,-0.663122658240795,-0.7485107481711013,1,0,12.0,19.0,26.0,34.0,17.75,23.125,6.238322424070968,26.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
2014-09-29,0,9,40,2014,-1.0,-1.8369701987210297e-16,-0.992708874098054,0.1205366802553232,1,0,14.0,12.0,14.0,11.0,14.75,20.625,2.986078811194821,19.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
2014-12-08,2,12,50,2014,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052,0,1,14.0,14.0,19.0,30.0,14.75,21.0,2.986078811194821,19.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
2014-12-15,0,12,51,2014,-2.4492935982947064e-16,1.0,-0.12053668025532363,0.992708874098054,0,1,22.0,14.0,12.0,39.0,15.5,20.0,4.434711565216691,22.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
2015-02-23,0,2,9,2015,0.8660254037844386,0.5000000000000001,0.8854560256532098,0.4647231720437686,0,1,25.0,22.0,14.0,26.0,18.75,18.25,5.619905100029122,25.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0
2015-04-13,0,4,16,2015,0.8660254037844387,-0.49999999999999983,0.9350162426854148,-0.35460488704253545,0,0,22.0,25.0,14.0,14.0,20.75,17.75,4.7169905660283025,25.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0
2015-05-18,0,5,21,2015,0.49999999999999994,-0.8660254037844387,0.5680647467311558,-0.8229838658936564,0,0,100.0,22.0,22.0,19.0,42.25,28.5,38.52596527019148,100.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2015-05-25,0,5,22,2015,0.49999999999999994,-0.8660254037844387,0.46472317204376906,-0.8854560256532096,0,0,23.0,100.0,25.0,12.0,42.5,29.0,38.353617821530214,100.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0
2015-06-01,0,6,23,2015,1.2246467991473532e-16,-1.0,0.35460488704253584,-0.9350162426854147,1,0,0.0,23.0,22.0,14.0,36.25,27.5,43.80544106234597,100.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0
2015-06-08,0,6,24,2015,1.2246467991473532e-16,-1.0,0.23931566428755768,-0.970941817426052,1,0,16.0,0.0,100.0,14.0,34.75,27.75,44.55240360145193,100.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0
2015-06-15,0,6,25,2015,1.2246467991473532e-16,-1.0,0.12053668025532308,-0.992708874098054,1,0,16.0,16.0,23.0,22.0,13.75,28.0,9.742518497116988,23.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0
2015-06-22,0,6,26,2015,1.2246467991473532e-16,-1.0,-3.216245299353273e-16,-1.0,1,0,15.0,16.0,0.0,25.0,11.75,27.125,7.847504911329036,16.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.0
